"datum_zeit","dauer","themen","standbild_url","url"
2019-01-11 21:45:00,"934","
                                Themen der Sendung:
                                Lawinengefahr: Unterwegs mit einem Experten, AfD debattiert auf Parteitag über EU-Ausstieg, Weitere Meldungen im Überblick, USA vor längstem Shutdown aller Zeiten, Das Wetter
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-450719~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6491.html"
2019-01-12 23:30:00,"1214","
                                Themen der Sendung:
                                Schneechaos: Reportage aus dem abgeschnittenen Skiort Hochkar/Österreich, Die Linke im Wahljahr 2019, Weiter Meldungen im Überblick, 25 Jahre Ende der Apartheid: Landenteignungen weißer Farmer in Südafrika, Meldungen aus dem Sport, Das Wetter
                                
                                    Hinweis:
                                     Diese Sendung wurde wegen eines Schreibfehlers nachträglich bearbeitet. In der Fernsehausstrahlung der tagesthemen um 23:30 Uhr stand irrtümlich ""Vorsitzende"" anstelle von ""Vorsitzender"" im Beitrag zu Südafrika von Thomas Denzel.
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-450955~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6493.html"
2019-01-13 23:15:00,"1250","
                                Themen der Sendung:
                                Vor der nächsten Schneefront in den Alpen, CDU-Vorstandsklausur: Auftakt zum Schicksalsjahr, Weitere Meldungen im Überblick, Rosa Luxemburg - wer war sie wirklich?, Knastleben in den USA: Der Marathonlauf von St. Quentin, Das Wetter
                                
                                    Hinweis:
                                    Der Sendemitschnitt wurde nachträglich korrigiert, weil in der um 23.15 Uhr ausgestrahlten Sendung in der Meldung zu Danzig irrtümlich Bilder vom Attentäter verwendet wurden, die die Redaktion nicht zeigen wollte. Die Bilder wurden deshalb ausgetauscht.
                                
                            ","https://www.tagesschau.deNA","https://www.tagesschau.de/multimedia/sendung/tt-6495.html"
2019-01-14 22:30:00,"1826","
                                Themen der Sendung:
                                Weiterhin hohes Lawinenrisiko im Alpenraum, Vorbereitungen in Ramsgate auf Brexit, Deutsche Industrie vor Brexit, Der Kommentar, Weitere Meldungen im Überblick, Finanzminister beraten über Grundsteuer, Weitere Meldungen im Überblick II, Debatte um Raubkunst aus Afrika, Das Wetter
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-451563~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6497.html"
2019-01-15 21:50:00,"520","
                                Themen der Sendung:
                                Britisches Parlament lehnt Brexit-Abkommen deutlich ab
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-451905~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6499.html"
2019-01-15 22:30:00,"1960","
                                Themen der Sendung:
                                Britisches Parlament lehnt Brexit-Abkommen ab, Der Kommentar, AfD wird Prüffall, Bundesverfassungsgericht prüft Hartz-IV-Sanktionen, Warnstreiks der Sicherheitsleute lähmen Flugverkehr, Weitere Meldungen im Überblick, Handball-WM: Deutschland und Frankreich trennen sich Unentschieden, Das Wetter
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-451939~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6501.html"
2019-01-16 22:25:00,"1803","
                                Themen der Sendung:
                                Brexit ohne Ende: May gewinnt Vertrauensabstimmung, Ratlosigkeit und mögliche Auswege, Der Kommentar, Weitere Meldungen im Überblick, Schwieriges Verfahren: Loveparade-Prozess könnte eingestellt werden, 100 Jahre Bauhaus, Das Wetter
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-452299~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6503.html"
2019-01-17 22:15:00,"1780","
                                Themen der Sendung:
                                Bahnfahrer teilen ihre skurrilsten Erlebnisse, Bundesrechnungshof wirft Bund Versäumnisse bei Umgang mit Bahn vor, Der Kommentar, Weitere Meldungen im Überblick I, Huawei droht Ausschluss von 5G-Ausbau, Weitere Meldungen im Überblick II, Im Kino: ""Capernaum"" - Stadt der Hoffnung, Handball-WM: Deutschland besiegt im letzten Gruppenspiel Serbien, Das Wetter
                                
                                    Hinweis:
                                    Diese Sendung wurde nachträglich bearbeitet, weil der Vorspann der Tagesthemen in der Fernsehausstrahlung um 22:15 Uhr aus technischen Gründen nicht abgespielt werden konnte. Außerdem wurde in dem Beitrag von Justus Kliss die Einblendung „Archiv“ irrtümlich über den O-Ton des Präsidenten des Bundesrechnungshofes gelegt.
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-452625~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6505.html"
2019-01-18 21:45:00,"896","
                                Themen der Sendung:
                                Weltweit protestieren Schulen gegen den Klimawandel, Bundesregierung kündigt Hilfe für benachteiligte ""Brennpunktschulen"" an, Weitere Meldungen im Überblick, Die digitale Revolution auf dem Land hat begonnen, Das Wetter
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-452919~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6507.html"
2019-01-19 21:10:00,"470","
                                Themen der Sendung:
                                Bayerischer Ministerpräsident Söder zum neuen CSU-Vorsitzenden gewählt, Der Kommentar, Demonstration für mehr Umwelt-und Tierschutz in der Landwirtschaft in Berlin, Weitere Meldungen im Überblick
                                
                                    Hinweis:
                                    Der Beitrag zum Fußball Bundesliga darf auf tagesschau.de aus rechtlichen Gründen nicht gezeigt werden. 
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-453091~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6509.html"
